source_file,polyline_index,point_index,lon,lat,x,y,nearest_x,nearest_y,signed_distance_m,abs_distance_m,kept
2024-09-13T21:39:50Z.json,0,16,105.86766,20.99493,590180.4982302047,2321831.187000415,590183.6075395591,2321831.231982531,-3.10963471366566,3.10963471366566,True
2024-09-13T21:39:50Z.json,0,17,105.86773,20.99489,590187.7981420682,2321826.799194929,590183.6725317795,2321826.739510073,4.126041994004386,4.126041994004386,True
2024-09-16T21:28:12Z.json,0,0,105.86785,20.99679,590199.1297045515,2322037.16304185,590182.0637646898,2322023.4782467047,21.875098206293675,21.875098206293675,False
2024-09-16T21:28:12Z.json,0,1,105.86773,20.99679,590186.6569098268,2322037.0953470557,590182.0637646898,2322023.4782467047,14.370887384535305,14.370887384535305,False
2024-09-16T21:28:12Z.json,0,2,105.86766,20.99677,590179.3931255576,2322034.842218835,590182.0637646898,2322023.4782467047,-11.673567404674106,11.673567404674106,True
2024-09-16T21:28:12Z.json,0,3,105.86756,20.99671,590169.0351622675,2322028.1448866725,590182.0637646898,2322023.4782467047,-13.839147721895689,13.839147721895689,True
2024-09-16T21:28:12Z.json,0,4,105.86758,20.99659,590171.1860304293,2322014.8743031626,590182.0173483986,2322014.951683079,-10.831594370286368,10.831594370286368,True
2024-09-16T21:28:12Z.json,0,5,105.86756,20.99643,590169.2033164975,2321997.153873228,590182.1438371049,2321997.246321479,-12.940850832524427,12.940850832524427,True
2024-09-16T21:28:12Z.json,0,6,105.86758,20.99636,590171.3241597053,2321989.4173994386,590182.1992125914,2321989.495091801,-10.87533040317882,10.87533040317882,True
2024-09-16T21:28:12Z.json,0,7,105.86754,20.99623,590167.244618571,2321975.0061565638,590182.3019543599,2321975.1137275337,-15.05772003232078,15.05772003232078,True
2024-09-16T21:28:12Z.json,0,8,105.86757,20.9959,590170.561008233,2321938.4979543653,590182.5629282042,2321938.583697168,-12.002226244461966,12.002226244461966,True
2024-09-16T21:28:12Z.json,0,9,105.86756,20.99575,590169.6116821194,2321921.8899875777,590182.681522518,2321921.983359701,-13.070173923813556,13.070173923813556,True
2024-09-16T21:28:12Z.json,0,10,105.86758,20.99569,590171.7265280368,2321915.2603358952,590182.7289908647,2321915.338938486,-11.002743596379291,11.002743596379291,True
2024-09-16T21:28:12Z.json,0,11,105.86754,20.99525,590167.8331225342,2321866.5376202604,590183.0935819879,2321866.7583920406,-15.262056313499642,15.262056313499642,True
2024-09-16T21:28:12Z.json,0,12,105.86756,20.99502,590170.0500605346,2321841.0919992183,590183.4620885035,2321841.2860298962,-13.413431408209995,13.413431408209995,True
2024-09-16T21:28:12Z.json,0,13,105.86762,20.99494,590176.3345750942,2321832.271262727,590183.5909856741,2321832.3762406074,-7.2571698932393245,7.2571698932393245,True
2024-09-16T21:28:12Z.json,0,14,105.8677,20.9949,590184.6738979466,2321827.8890956677,590183.6561138353,2321827.874371471,1.0178906126028904,1.0178906126028904,False
2024-09-16T21:28:12Z.json,0,15,105.86784,20.99488,590199.2376889254,2321825.7544218004,590183.6900369622,2321825.52949523,15.54927887493934,15.54927887493934,False
2024-09-20T21:48:34Z.json,0,0,105.86784,20.99624,590198.4207137413,2321976.282192292,590182.2944297956,2321976.1669846596,16.126695467376553,16.126695467376553,True
2024-09-20T21:48:34Z.json,0,1,105.86772,20.99657,590185.7496564988,2322012.7396231755,590182.0333412281,2322012.7130734827,3.7164101061285373,3.7164101061285373,True
